"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,7.19762,3.08635,0,0,3,0,180,0,0
0.02,7.19405,3.08476,0.00390807,0.06,3,0,-155.902,0,0
0.04,7.19049,3.08316,0.00781109,0.12,3,0,-155.905,0,0
0.06,7.18693,3.08157,0.01171,0.18,3,0,-155.909,0,0
0.08,7.18336,3.07998,0.0156181,0.24,3,0,-155.913,0,0
0.1,7.1798,3.07838,0.0195211,0.3,3,0,-155.917,0,0
0.12,7.17623,3.07679,0.0234292,0.36,3,0,-155.92,0,0
0.14,7.17018,3.07409,0.0300543,0.42,3,0,-155.933,0,0
0.16,7.16158,3.07024,0.0394768,0.48,3,0,-155.955,0,0
0.18,7.15297,3.0664,0.0489043,0.54,3,0,-155.977,0,0
0.2,7.14228,3.06164,0.0606061,0.6,3,0,-156.017,0,0
0.22,7.13105,3.05665,0.0728949,0.66,3,0,-156.062,0,0
0.24,7.1183,3.05099,0.0868447,0.72,3,0,-156.125,0,0
0.26,7.10497,3.0451,0.101418,0.78,3,0,-156.196,0,0
0.28,7.08986,3.03845,0.117927,0.84,3,0,-156.295,0,0
0.3,7.07399,3.0315,0.135252,0.9,3,0,-156.41,0,0
0.32,7.05712,3.02415,0.153653,0.96,3,0,-156.545,0,0
0.34,7.03887,3.01626,0.173536,1.02,3,0,-156.713,0,0
0.36,7.01951,3.00797,0.194596,1.08,3,0,-156.907,0,0
0.38,6.99908,2.9993,0.21679,1.14,3,0,-157.129,0,0
0.4,6.97752,2.99026,0.240168,1.2,3,0,-157.381,0,0
0.42,6.95481,2.98086,0.264747,1.26,3,0,-157.667,0,0
0.44,6.93093,2.97112,0.290537,1.32,3,0,-157.989,0,0
0.46,6.90587,2.96108,0.317533,1.38,3,0,-158.349,0,0
0.48,6.87964,2.95077,0.345717,1.44,3,0,-158.747,0,0
0.5,6.85223,2.94023,0.375083,1.5,3,0,-159.182,0,0
0.52,6.82365,2.92949,0.405615,1.56,3,0,-159.651,0,0
0.54,6.79374,2.91855,0.437463,1.62,3,0,-160.155,0,0
0.56,6.76263,2.90748,0.470483,1.68,3,0,-160.684,0,0
0.58,6.73034,2.89634,0.504641,1.74,3,0,-161.228,0,0
0.6,6.69675,2.8851,0.540062,1.8,3,0,-161.767,0,0
0.62,6.66193,2.87382,0.576663,1.86,3,0,-162.287,0,0
0.64,6.62589,2.86249,0.614442,1.92,3,0,-162.765,0,0
0.66,6.58859,2.85107,0.653451,1.98,3,0,-163.156,0,0
0.68,6.55008,2.83953,0.693653,2.04,3,0,-163.406,0,0
0.7,6.51042,2.82778,0.735017,2.1,3,0,-163.488,0,0
0.72,6.46955,2.81565,0.777649,2.16,3,0,-163.34,0,0
0.74,6.42763,2.80298,0.821442,2.22,0.958139,0,-162.924,0,0
0.76,6.38518,2.7897,0.865921,2.20518,3,0,-162.221,0,0
0.78,6.34387,2.77612,0.909406,2.14518,3,0,-161.282,0,0
0.8,6.30395,2.76219,0.951686,2.08518,3,0,-160.166,0,0
0.82,6.2654,2.74784,0.992821,2.02518,3,0,-158.939,0,0
0.84,6.22835,2.73311,1.03269,1.96518,3,0,-157.665,0,0
0.86,6.1927,2.718,1.07141,1.90518,3,0,-156.394,0,0
0.88,6.15853,2.70262,1.10888,1.84518,3,0,-155.166,0,0
0.9,6.1257,2.68702,1.14523,1.78518,3,0,-154.01,0,0
0.92,6.09435,2.67136,1.18027,1.72518,3,0,-152.943,0,0
0.94,6.06427,2.65566,1.21421,1.66518,3,0,-151.958,0,0
0.96,6.03551,2.64004,1.24693,1.60518,3,0,-151.072,0,0
0.98,6.0081,2.62464,1.27837,1.54518,3,0,-150.287,0,0
1,5.98189,2.60946,1.30866,1.48518,3,0,-149.587,0,0
1.02,5.95687,2.59458,1.33777,1.42518,3,0,-148.966,0,0
1.04,5.93302,2.58007,1.36569,1.36518,3,0,-148.421,0,0
1.06,5.91032,2.56599,1.3924,1.30518,3,0,-147.947,0,0
1.08,5.88877,2.55238,1.41789,1.24518,3,0,-147.535,0,0
1.1,5.86833,2.53928,1.44217,1.18518,3,0,-147.179,0,0
1.12,5.84899,2.52672,1.46523,1.12518,3,0,-146.873,0,0
1.14,5.83071,2.51473,1.48709,1.06518,3,0,-146.61,0,0
1.16,5.81347,2.50331,1.50777,1.00518,3,0,-146.385,0,0
1.18,5.79717,2.49243,1.52737,0.945176,3,0,-146.192,0,0
1.2,5.78198,2.48223,1.54566,0.885176,3,0,-146.036,0,0
1.22,5.76798,2.47278,1.56255,0.825176,3,0,-145.913,0,0
1.24,5.75472,2.46378,1.57858,0.765176,3,0,-145.807,0,0
1.26,5.74267,2.45558,1.59315,0.705176,3,0,-145.726,0,0
1.28,5.73162,2.44803,1.60654,0.645176,3,0,-145.662,0,0
1.3,5.72148,2.4411,1.61882,0.585176,3,0,-145.611,0,0
1.32,5.7124,2.43488,1.62983,0.525176,3,0,-145.573,0,0
1.34,5.70463,2.42955,1.63925,0.465176,3,0,-145.548,0,0
1.36,5.69686,2.42422,1.64867,0.405176,3,0,-145.524,0,0
1.38,5.69252,2.42123,1.65394,0.345176,3,0,-145.515,0,0
1.4,5.68931,2.41902,1.65784,0.285176,3,0,-145.511,0,0
1.42,5.68609,2.41681,1.66174,0.225176,3,0,-145.507,0,0
1.44,5.68287,2.4146,1.66565,0.165176,3,0,-145.503,0,0
1.46,5.67965,2.41239,1.66955,0.105176,3,0,-145.498,0,0
1.48,5.67644,2.41018,1.67345,0.0451755,3,0,-145.494,0,0
