"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,4.88635,2.40833,0,0,3,0,0,0,0
0.02,4.88313,2.40612,0.00390544,0.06,3,0,-145.492,0,0
0.04,4.87992,2.40391,0.00780265,0.12,3,0,-145.494,0,0
0.06,4.8767,2.40169,0.0117138,0.18,3,0,-145.495,0,0
0.08,4.87348,2.39948,0.0156192,0.24,3,0,-145.497,0,0
0.1,4.87027,2.39727,0.0195164,0.3,3,0,-145.498,0,0
0.12,4.86705,2.39506,0.0234219,0.36,3,0,-145.499,0,0
0.14,4.86159,2.39131,0.0300456,0.42,3,0,-145.504,0,0
0.16,4.85382,2.38597,0.0394737,0.48,3,0,-145.511,0,0
0.18,4.84605,2.38063,0.0489017,0.54,3,0,-145.519,0,0
0.2,4.8364,2.374,0.0606098,0.6,3,0,-145.532,0,0
0.22,4.82627,2.36705,0.0728948,0.66,3,0,-145.548,0,0
0.24,4.81477,2.35916,0.0868412,0.72,3,0,-145.57,0,0
0.26,4.80275,2.35093,0.101409,0.78,3,0,-145.596,0,0
0.28,4.78912,2.3416,0.117926,0.84,3,0,-145.634,0,0
0.3,4.77481,2.33182,0.135259,0.9,3,0,-145.678,0,0
0.32,4.75962,2.32146,0.153645,0.96,3,0,-145.729,0,0
0.34,4.74318,2.31027,0.173532,1.02,3,0,-145.792,0,0
0.36,4.72576,2.29844,0.19459,1.08,3,0,-145.868,0,0
0.38,4.70738,2.286,0.216784,1.14,3,0,-145.958,0,0
0.4,4.68799,2.27293,0.240167,1.2,3,0,-146.061,0,0
0.42,4.66759,2.25922,0.264746,1.26,3,0,-146.179,0,0
0.44,4.64615,2.24489,0.290534,1.32,3,0,-146.316,0,0
0.46,4.62367,2.22995,0.317526,1.38,3,0,-146.474,0,0
0.48,4.60015,2.21442,0.345711,1.44,3,0,-146.652,0,0
0.5,4.57559,2.19832,0.375077,1.5,3,0,-146.853,0,0
0.52,4.54999,2.18167,0.405616,1.56,3,0,-147.08,0,0
0.54,4.52322,2.16442,0.437462,1.62,3,0,-147.337,0,0
0.56,4.49538,2.14667,0.470479,1.68,3,0,-147.623,0,0
0.58,4.46648,2.12846,0.504638,1.74,3,0,-147.942,0,0
0.6,4.43641,2.10975,0.540053,1.8,3,0,-148.299,0,0
0.62,4.4052,2.09062,0.57666,1.86,3,0,-148.692,0,0
0.64,4.37285,2.0711,0.614443,1.92,3,0,-149.13,0,0
0.66,4.33929,2.05123,0.653444,1.98,3,0,-149.615,0,0
0.68,4.30452,2.03105,0.693646,2.04,3,0,-150.148,0,0
0.7,4.26854,2.01064,0.735011,2.1,3,0,-150.735,0,0
0.72,4.23123,1.99001,0.777645,2.16,3,0,-151.384,0,0
0.74,4.19266,1.96927,0.821438,2.22,3,0,-152.093,0,0
0.76,4.15277,1.94848,0.86642,2.28,3,0,-152.869,0,0
0.78,4.11151,1.92772,0.912609,2.34,3,0,-153.72,0,0
0.8,4.06883,1.90706,0.960026,2.4,3,0,-154.648,0,0
0.82,4.02473,1.88663,1.00863,2.46,3,0,-155.655,0,0
0.84,3.97917,1.86653,1.05843,2.52,3,0,-156.747,0,0
0.86,3.93211,1.84687,1.10943,2.58,3,0,-157.927,0,0
0.88,3.88353,1.82779,1.16162,2.64,3,0,-159.193,0,0
0.9,3.8334,1.80941,1.21501,2.7,3,0,-160.544,0,0
0.92,3.78172,1.79186,1.26959,2.76,3,0,-161.975,0,0
0.94,3.72842,1.77529,1.32541,2.82,3,0,-163.481,0,0
0.96,3.67355,1.75983,1.38241,2.88,3,0,-165.047,0,0
0.98,3.61712,1.7456,1.44061,2.94,3,0,-166.656,0,0
1,3.55916,1.73272,1.49998,2.99868,0.15624,0,-168.288,0,0
1.02,3.50025,1.72138,1.55998,3,0,0,-169.897,0,0
