"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,1.31198,2.34487,0,0,2.5,0,180,0,-149.5
0.02,1.31554,2.34497,0.0035614,0.05,2.5,0,151.091,0,-149.5
0.04,1.3191,2.34507,0.00712281,0.1,2.5,0,151.092,0,-149.5
0.06,1.32267,2.34517,0.0106942,0.15,2.5,0,151.092,0,-149.5
0.08,1.32623,2.34527,0.0142556,0.2,2.5,0,151.093,0,-149.5
0.1,1.32979,2.34536,0.0178168,0.25,2.5,0,151.093,0,-149.5
0.12,1.33335,2.34546,0.0213782,0.3,2.5,0,151.094,0,-149.5
0.14,1.33692,2.34556,0.0249496,0.35,2.5,0,151.094,0,-149.5
0.16,1.34487,2.34578,0.0329026,0.4,2.5,0,151.096,0,-149.5
0.18,1.35347,2.34602,0.0415059,0.45,2.5,0,151.098,0,-149.5
0.2,1.36208,2.34626,0.0501193,0.5,2.5,0,151.101,0,-149.5
0.22,1.37308,2.34657,0.0611237,0.55,2.5,0,151.105,0,-149.5
0.24,1.38428,2.34689,0.0723282,0.6,2.5,0,151.109,0,-149.5
0.26,1.39686,2.34724,0.0849131,0.65,2.5,0,151.116,0,-149.5
0.28,1.41015,2.34762,0.0982085,0.7,2.5,0,151.125,0,-149.5
0.3,1.42478,2.34803,0.112844,0.75,2.5,0,151.135,0,-149.5
0.32,1.43998,2.34847,0.128051,0.8,2.5,0,151.147,0,-149.5
0.34,1.45667,2.34895,0.144748,0.85,2.5,0,151.162,0,-149.5
0.36,1.47415,2.34946,0.162235,0.9,2.5,0,151.179,0,-149.5
0.38,1.49249,2.35,0.180583,0.95,2.5,0,151.2,0,-149.5
0.4,1.51199,2.35058,0.200092,1,2.5,0,151.224,0,-149.5
0.42,1.53255,2.3512,0.220661,1.05,2.5,0,151.251,0,-149.5
0.44,1.55405,2.35187,0.242171,1.1,2.5,0,151.283,0,-149.5
0.46,1.57652,2.35257,0.264652,1.15,2.5,0,151.32,0,-149.5
0.48,1.59998,2.35333,0.288125,1.2,2.5,0,151.361,0,-149.5
0.5,1.62445,2.35413,0.312608,1.25,2.5,0,151.407,0,-149.5
0.52,1.64993,2.35499,0.338102,1.3,2.5,0,151.459,0,-149.5
0.54,1.67641,2.35591,0.364598,1.35,2.5,0,151.517,0,-149.5
0.56,1.7039,2.35689,0.392106,1.4,2.5,0,151.582,0,-149.5
0.58,1.73237,2.35794,0.420595,1.45,2.5,0,151.654,0,-149.5
0.6,1.76183,2.35907,0.450077,1.5,2.5,0,151.733,0,-149.5
0.62,1.79226,2.36028,0.480531,1.55,2.5,0,151.82,0,-149.5
0.64,1.82374,2.36158,0.512037,1.6,2.5,0,151.917,0,-149.5
0.66,1.85625,2.36298,0.544578,1.65,2.5,0,152.023,0,-149.5
0.68,1.88969,2.36449,0.578052,1.7,2.5,0,152.139,0,-149.5
0.7,1.92413,2.36611,0.61253,1.75,2.5,0,152.265,0,-149.5
0.72,1.95962,2.36787,0.648063,1.8,2.5,0,152.402,0,-149.5
0.74,1.99602,2.36976,0.684512,1.85,2.5,0,152.552,0,-149.5
0.76,2.03351,2.37181,0.722058,1.9,2.5,0,152.715,0,-149.5
0.78,2.0719,2.37403,0.760513,1.95,2.5,0,152.891,0,-149.5
0.8,2.11136,2.37643,0.800045,2,2.5,0,153.083,0,-149.5
0.82,2.15175,2.37903,0.840519,2.05,2.5,0,153.289,0,-149.5
0.84,2.19317,2.38185,0.882035,2.1,2.5,0,153.512,0,-149.5
0.86,2.23557,2.38492,0.924546,2.15,2.5,0,153.752,0,-149.5
0.88,2.27891,2.38824,0.968013,2.2,2.5,0,154.011,0,-149.5
0.9,2.32327,2.39184,1.01252,2.25,2.5,0,154.289,0,-149.5
0.92,2.36862,2.39576,1.05804,2.3,2.5,0,154.586,0,-149.5
0.94,2.41492,2.40001,1.10453,2.35,2.5,0,154.905,0,-149.5
0.96,2.46219,2.40462,1.15203,2.4,2.5,0,155.245,0,-149.5
0.98,2.51043,2.40962,1.20053,2.45,2.5,0,155.606,0,-149.5
1,2.55961,2.41505,1.25,2.49574,0.418501,0,155.99,0,-149.5
1.02,2.60924,2.42087,1.29997,2.5,0,0,156.39,0,-149.5
1.04,2.65886,2.42705,1.34998,2.5,0,0,156.804,0,-149.5
1.06,2.70843,2.43359,1.39998,2.5,0,0,157.229,0,-149.5
1.08,2.75795,2.4405,1.44998,2.5,0,0,157.662,0,-149.5
1.1,2.80742,2.44778,1.49998,2.5,0,0,158.101,0,-149.5
1.12,2.85683,2.45545,1.54998,2.5,0,0,158.544,0,-149.5
1.14,2.90617,2.4635,1.59997,2.5,0,0,158.986,0,-149.5
1.16,2.95546,2.47193,1.64998,2.5,0,0,159.424,0,-149.5
1.18,3.00468,2.48073,1.69998,2.5,0,0,159.853,0,-149.5
1.2,3.05383,2.4899,1.74998,2.5,0,0,160.271,0,-149.5
1.22,3.10291,2.49942,1.79997,2.5,0,0,160.672,0,-149.5
1.24,3.15193,2.50927,1.84997,2.5,0,0,161.052,0,-149.5
1.26,3.20089,2.51944,1.89998,2.5,0,0,161.406,0,-149.5
1.28,3.24978,2.5299,1.94997,2.5,0,0,161.732,0,-149.5
1.3,3.29862,2.54062,1.99998,2.5,0,0,162.025,0,-149.5
1.32,3.3474,2.55157,2.04997,2.5,0,0,162.282,0,-149.5
1.34,3.39614,2.56273,2.09997,2.5,0,0,162.503,0,-149.5
1.36,3.44484,2.57407,2.14997,2.5,0,0,162.686,0,-149.5
1.38,3.49351,2.58554,2.19998,2.5,0,0,162.829,0,-149.5
1.4,3.54215,2.59711,2.24998,2.5,0,0,162.935,0,-149.5
1.42,3.59077,2.60876,2.29997,2.5,0,0,163.003,0,-149.5
1.44,3.63939,2.62046,2.34998,2.5,0,0,163.036,0,-149.5
1.46,3.688,2.63216,2.39998,2.5,0,0,163.036,0,-149.5
1.48,3.73661,2.64386,2.44998,2.5,0,0,163.004,0,-149.5
1.5,3.78523,2.65551,2.49997,2.5,0,0,162.944,0,-149.5
1.52,3.83387,2.6671,2.54997,2.5,0,0,162.859,0,-149.5
1.54,3.88253,2.67861,2.59998,2.5,0,0,162.753,0,-149.5
1.56,3.93121,2.69002,2.64998,2.5,0,0,162.628,0,-149.5
1.58,3.97992,2.70132,2.69998,2.5,0,0,162.487,0,-149.5
1.6,4.02865,2.71249,2.74997,2.5,0,0,162.333,0,-149.5
1.62,4.07741,2.72353,2.79997,2.49873,0.994318,0,162.169,0,-149.5
1.64,4.12592,2.73436,2.84967,2.46404,2.5,0,161.998,0,-149.5
1.66,4.17357,2.74484,2.89846,2.41404,2.5,0,161.825,0,-149.5
1.68,4.22028,2.75497,2.94626,2.36404,2.5,0,161.652,0,-149.5
1.7,4.26601,2.76475,2.99302,2.31404,2.5,0,161.481,0,-149.5
1.72,4.31079,2.77419,3.03878,2.26404,2.5,0,161.314,0,-149.5
1.74,4.35463,2.78329,3.08356,2.21404,2.5,0,161.151,0,-149.5
1.76,4.39754,2.79208,3.12736,2.16404,2.5,0,160.993,0,-149.5
1.78,4.43947,2.80054,3.17014,2.11404,2.5,0,160.842,0,-149.5
1.8,4.48042,2.8087,3.21189,2.06404,2.5,0,160.696,0,-149.5
1.82,4.52047,2.81658,3.25271,2.01404,2.5,0,160.558,0,-149.5
1.84,4.55949,2.82416,3.29246,1.96404,2.5,0,160.426,0,-149.5
1.86,4.59759,2.83147,3.33125,1.91404,2.5,0,160.301,0,-149.5
1.88,4.63469,2.83851,3.36901,1.86404,2.5,0,160.184,0,-149.5
1.9,4.67087,2.8453,3.40583,1.81404,2.5,0,160.073,0,-149.5
1.92,4.70601,2.85182,3.44157,1.76404,2.5,0,159.97,0,-149.5
1.94,4.74025,2.85812,3.47638,1.71404,2.5,0,159.872,0,-149.5
1.96,4.77347,2.86417,3.51015,1.66404,2.5,0,159.782,0,-149.5
1.98,4.80569,2.86999,3.54289,1.61404,2.5,0,159.698,0,-149.5
2,4.83699,2.8756,3.57469,1.56404,2.5,0,159.62,0,-149.5
2.02,4.86734,2.881,3.60551,1.51404,2.5,0,159.548,0,-149.5
2.04,4.89664,2.88617,3.63527,1.46404,2.5,0,159.482,0,-149.5
2.06,4.92496,2.89114,3.66402,1.41404,2.5,0,159.422,0,-149.5
2.08,4.9523,2.89591,3.69177,1.36404,2.5,0,159.366,0,-149.5
2.1,4.97868,2.90048,3.71855,1.31404,2.5,0,159.316,0,-149.5
2.12,5.00407,2.90487,3.74431,1.26404,2.5,0,159.27,0,-149.5
2.14,5.02849,2.90906,3.76909,1.21404,2.5,0,159.229,0,-149.5
2.16,5.05193,2.91307,3.79287,1.16404,2.5,0,159.191,0,-149.5
2.18,5.0744,2.9169,3.81566,1.11404,2.5,0,159.158,0,-149.5
2.2,5.09593,2.92056,3.8375,1.06404,2.5,0,159.129,0,-149.5
2.22,5.11641,2.92403,3.85827,1.01404,2.5,0,159.103,0,-149.5
2.24,5.1358,2.9273,3.87794,0.964043,2.5,0,159.08,0,-149.5
2.26,5.15427,2.93042,3.89667,0.914043,2.5,0,159.06,0,-149.5
2.28,5.17192,2.93339,3.91457,0.864043,2.5,0,159.043,0,-149.5
2.3,5.18838,2.93615,3.93126,0.814043,2.5,0,159.028,0,-149.5
2.32,5.20381,2.93874,3.9469,0.764043,2.5,0,159.015,0,-149.5
2.34,5.2187,2.94123,3.962,0.714043,2.5,0,159.004,0,-149.5
2.36,5.23187,2.94344,3.97535,0.664043,2.5,0,158.996,0,-149.5
2.38,5.24485,2.94561,3.98851,0.614043,2.5,0,158.988,0,-149.5
2.4,5.25591,2.94746,3.99973,0.564043,2.5,0,158.983,0,-149.5
2.42,5.26697,2.9493,4.01094,0.514043,2.5,0,158.978,0,-149.5
2.44,5.27597,2.9508,4.02006,0.464043,2.5,0,158.974,0,-149.5
2.46,5.28446,2.95222,4.02867,0.414043,2.5,0,158.971,0,-149.5
2.48,5.29295,2.95364,4.03728,0.364043,2.5,0,158.968,0,-149.5
2.5,5.29723,2.95435,4.04162,0.314043,2.5,0,158.967,0,-149.5
2.52,5.30074,2.95494,4.04518,0.264043,2.5,0,158.967,0,-149.5
2.54,5.30426,2.95552,4.04875,0.214043,2.5,0,158.966,0,-149.5
2.56,5.30777,2.95611,4.0523,0.164043,2.5,0,158.966,0,-149.5
2.58,5.31129,2.95669,4.05587,0.114043,2.5,0,158.965,0,-149.5
2.6,5.3148,2.95728,4.05943,0.0640433,2.5,0,158.965,0,-149.5
2.62,5.31832,2.95787,4.063,0.0140433,2.5,0,158.964,0,-149.5
