"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,2.03863,0.84314,0,0,3,0,0,0,0
0.02,2.0425,0.84365,0.00390346,0.06,3,0,7.51173,0,0
0.04,2.04637,0.84416,0.00780692,0.12,3,0,7.51145,0,0
0.06,2.05024,0.84467,0.0117104,0.18,3,0,7.51118,0,0
0.08,2.05411,0.84518,0.0156138,0.24,3,0,7.51091,0,0
0.1,2.05798,0.84569,0.0195173,0.3,3,0,7.51063,0,0
0.12,2.06185,0.8462,0.0234208,0.36,3,0,7.51036,0,0
0.14,2.06842,0.84707,0.0300481,0.42,3,0,7.50951,0,0
0.16,2.07777,0.8483,0.0394787,0.48,3,0,7.50808,0,0
0.18,2.08711,0.84953,0.0488993,0.54,3,0,7.50664,0,0
0.2,2.09872,0.85106,0.0606097,0.6,3,0,7.50407,0,0
0.22,2.1109,0.85266,0.0728943,0.66,3,0,7.50122,0,0
0.24,2.12473,0.85449,0.0868449,0.72,3,0,7.49698,0,0
0.26,2.13917,0.85639,0.101409,0.78,3,0,7.49224,0,0
0.28,2.15555,0.85854,0.11793,0.84,3,0,7.48527,0,0
0.3,2.17273,0.8608,0.135258,0.9,3,0,7.47739,0,0
0.32,2.19096,0.86319,0.153644,0.96,3,0,7.46831,0,0
0.34,2.21068,0.86577,0.173532,1.02,3,0,7.45729,0,0
0.36,2.23156,0.8685,0.19459,1.08,3,0,7.44421,0,0
0.38,2.25357,0.87137,0.216786,1.14,3,0,7.42915,0,0
0.4,2.27675,0.87439,0.240162,1.2,3,0,7.41208,0,0
0.42,2.30113,0.87756,0.264747,1.26,3,0,7.39293,0,0
0.44,2.3267,0.88087,0.29053,1.32,3,0,7.37132,0,0
0.46,2.35347,0.88433,0.317523,1.38,3,0,7.34706,0,0
0.48,2.38143,0.88793,0.345714,1.44,3,0,7.32047,0,0
0.5,2.41056,0.89167,0.375083,1.5,3,0,7.29147,0,0
0.52,2.44084,0.89553,0.405608,1.56,3,0,7.25971,0,0
0.54,2.47244,0.89955,0.437463,1.62,3,0,7.22524,0,0
0.56,2.5052,0.90369,0.470483,1.68,3,0,7.18843,0,0
0.58,2.53909,0.90795,0.50464,1.74,3,0,7.14926,0,0
0.6,2.57423,0.91235,0.540054,1.8,3,0,7.10776,0,0
0.62,2.61056,0.91686,0.576663,1.86,3,0,7.06435,0,0
