"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,1.15968,1.82771,0,0,2.5,0,1.591,0,0
0.02,1.16324,1.82781,0.00356371,0.05,2.5,0,1.59142,0.000878278,0
0.04,1.1668,1.82791,0.00712741,0.1,2.5,0,1.59184,0.00175656,0
0.06,1.17037,1.82801,0.0106911,0.15,2.5,0,1.59226,0.00263483,0
0.08,1.17393,1.82811,0.0142548,0.2,2.5,0,1.59268,0.00351311,0
0.1,1.17749,1.8282,0.0178185,0.25,2.5,0,1.59309,0.00439139,0
0.12,1.18105,1.8283,0.0213822,0.3,2.5,0,1.59351,0.00526967,0
0.14,1.18462,1.8284,0.0249459,0.35,2.5,0,1.59393,0.00614795,0
0.16,1.19257,1.82862,0.0329074,0.4,2.5,0,1.59613,0.00815908,0
0.18,1.20117,1.82886,0.0415109,0.45,2.5,0,1.59858,0.0103356,0
0.2,1.20978,1.8291,0.0501144,0.5,2.5,0,1.60104,0.0125122,0
0.22,1.22078,1.82941,0.0611189,0.55,2.5,0,1.60588,0.0152355,0
0.24,1.23198,1.82973,0.0723313,0.6,2.5,0,1.61094,0.0180062,0
0.26,1.24456,1.83008,0.0849109,0.65,2.5,0,1.61802,0.0210655,0
0.28,1.25785,1.83046,0.0982109,0.7,2.5,0,1.62618,0.0242767,0
0.3,1.27248,1.83087,0.112849,0.75,2.5,0,1.63714,0.0276166,0
0.32,1.28768,1.83131,0.128046,0.8,2.5,0,1.64935,0.0310299,0
0.34,1.30437,1.83179,0.144744,0.85,2.5,0,1.66585,0.0348825,0
0.36,1.32185,1.8323,0.162232,0.9,2.5,0,1.68466,0.0389449,0
0.38,1.34019,1.83284,0.180583,0.95,2.5,0,1.70608,0.043224,0
0.4,1.35969,1.83343,0.200091,1,2.5,0,1.73141,0.0477366,0
0.42,1.38025,1.83406,0.220661,1.05,2.5,0,1.76082,0.0524418,0
0.44,1.40174,1.83472,0.242166,1.1,2.5,0,1.79446,0.0571862,0
0.46,1.42421,1.83543,0.264647,1.15,2.5,0,1.83303,0.0621523,0
0.48,1.44768,1.83619,0.288125,1.2,2.5,0,1.87693,0.0674892,0
0.5,1.47215,1.837,0.312608,1.25,2.5,0,1.9263,0.0731026,0
0.52,1.49763,1.83787,0.338101,1.3,2.5,0,1.98163,0.0789542,0
0.54,1.52411,1.8388,0.3646,1.35,2.5,0,2.04351,0.0849717,0
0.56,1.55159,1.8398,0.392101,1.4,2.5,0,2.11293,0.0911543,0
0.58,1.58007,1.84087,0.420595,1.45,2.5,0,2.19045,0.0977709,0
0.6,1.60952,1.84202,0.450073,1.5,2.5,0,2.27598,0.104742,0
0.62,1.63995,1.84325,0.480526,1.55,2.5,0,2.37006,0.112016,0
0.64,1.67144,1.84458,0.512041,1.6,2.5,0,2.47431,0.119592,0
0.66,1.70394,1.84602,0.544573,1.65,2.5,0,2.58973,0.127414,0
0.68,1.73738,1.84757,0.578052,1.7,2.5,0,2.71617,0.135759,0
0.7,1.77181,1.84924,0.612526,1.75,2.5,0,2.85448,0.144516,0
0.72,1.8073,1.85106,0.648062,1.8,2.5,0,3.00643,0.153704,0
0.74,1.8437,1.85302,0.684512,1.85,2.5,0,3.17101,0.163271,0
0.76,1.88118,1.85515,0.722055,1.9,2.5,0,3.35233,0.173216,0
0.78,1.91957,1.85747,0.760512,1.95,2.5,0,3.54882,0.183658,0
0.8,1.95903,1.85999,0.80005,2,2.5,0,3.76369,0.194576,0
0.82,1.9994,1.86272,0.840516,2.05,2.5,0,3.99538,0.205857,0
0.84,2.04081,1.86571,0.882037,2.1,2.5,0,4.24738,0.217504,0
0.86,2.0832,1.86895,0.924542,2.15,2.5,0,4.51944,0.229414,0
0.88,2.12653,1.87249,0.968016,2.2,2.5,0,4.81218,0.241486,0
0.9,2.17086,1.87634,1.01252,2.25,2.5,0,5.12773,0.253574,0
