"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,6.33897,5.7668,0,0,21.0001,0,0,0,132.8
0.02,6.32879,5.77586,0.0136318,0.420001,21,0,-0.287764,0,132.991
0.04,6.31501,5.78492,0.0301192,0.840127,21.0032,0,-1.34774,0,133.565
0.06,6.2859,5.80651,0.0663608,1.26118,21.0197,0,-3.10237,0,134.522
0.08,6.24478,5.83685,0.117468,1.68526,21.0658,0,-5.50987,0,135.861
0.1,6.19207,5.87518,0.182635,2.09365,6.47857,0,-8.55541,0,137.582
0.12,6.13148,5.91706,0.256286,1.96361,9,0,-13.7094,0,139.687
0.14,6.06824,5.95771,0.331465,2.01408,9,0,-17.7043,0,142.056
0.16,6.00767,5.99771,0.40405,2.20192,9,0,-18.4725,0,144.12
0.18,5.95031,6.03741,0.473818,2.37607,9,0,-17.9959,0,145.801
0.2,5.89593,6.07695,0.541048,2.53995,9,0,-16.5722,0,147.099
0.22,5.84431,6.11635,0.605986,2.69818,9,0,-14.3681,0,148.014
0.24,5.79519,6.15552,0.668809,2.85592,9,0,-11.5749,0,148.547
0.26,5.74837,6.19432,0.729623,3,0,0,-8.574,0,148.7
0.28,5.70171,6.23204,0.789622,3,0,0,-6.728,0,148.7
0.3,5.65388,6.26825,0.849613,3,0,0,-4.987,0,148.7
0.32,5.60503,6.30309,0.909614,3,0,0,-3.485,0,148.7
0.34,5.55539,6.33679,0.969613,3,0,0,-2.326,0,148.7
0.36,5.50516,6.36961,1.02961,3,0,0,-1.477,0,148.7
0.38,5.45453,6.4018,1.08961,3,0,0,-0.887,0,148.7
0.4,5.40363,6.43356,1.14961,3,0,0,-0.503,0,148.7
0.42,5.35256,6.46506,1.20961,3,0,0,-0.264,0,148.7
0.44,5.30139,6.49639,1.26961,3,1.60446,0,-0.128,0,148.7
0.46,5.25213,6.52645,1.32732,2.664,30,0,-0.062,0,148.7
0.48,5.21182,6.551,1.37451,2.064,30,0,-0.038,0,148.7
0.5,5.18227,6.56899,1.40911,1.464,30,0,-0.031,0,148.7
0.52,5.16602,6.57888,1.42813,0.863996,30,0,-0.03,0,148.7
0.54,5.15547,6.5853,1.44048,0.263996,30,0,-0.029,0,148.7
