"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,5.01513,5.68036,0,0,1,0,0,0,132.8
0.02,5.01666,5.67871,0.0022502,0.02,1,0,-179.998,0,132.8
0.04,5.01819,5.67705,0.00450774,0.04,1,0,-179.996,0,132.8
0.06,5.01972,5.6754,0.00675794,0.06,1,0,-179.993,0,132.8
0.08,5.02126,5.67375,0.00901495,0.08,1,0,-179.991,0,132.8
0.1,5.02279,5.67209,0.0112725,0.1,1,0,-179.989,0,132.8
0.12,5.02432,5.67044,0.0135227,0.12,1,0,-179.987,0,132.8
0.14,5.02585,5.66878,0.0157802,0.14,1,0,-179.984,0,132.8
0.16,5.02738,5.66713,0.0180304,0.16,1,0,-179.982,0,132.8
0.18,5.02891,5.66548,0.0202806,0.18,1,0,-179.98,0,132.8
0.2,5.03045,5.66382,0.022545,0.2,1,0,-179.978,0,132.8
0.22,5.03198,5.66217,0.0247952,0.22,1,0,-179.975,0,132.8
0.24,5.03509,5.65881,0.0293736,0.24,1,0,-179.964,0,132.8
0.26,5.03879,5.65482,0.0348151,0.26,1,0,-179.948,0,132.8
0.28,5.04249,5.65083,0.0402566,0.28,1,0,-179.934,0,132.8
0.3,5.0462,5.64684,0.0457049,0.3,1,0,-179.918,0,132.8
0.32,5.04997,5.64278,0.0512454,0.32,1,0,-179.902,0,132.8
0.34,5.0548,5.63759,0.0583351,0.34,1,0,-179.871,0,132.8
0.36,5.05963,5.63239,0.0654322,0.36,1,0,-179.839,0,132.8
0.38,5.06446,5.62721,0.0725147,0.38,1,0,-179.808,0,132.8
0.4,5.06973,5.62156,0.080241,0.4,1,0,-179.767,0,132.8
0.42,5.07547,5.61541,0.0886535,0.42,1,0,-179.716,0,132.8
0.44,5.08122,5.60927,0.0970655,0.44,1,0,-179.665,0,132.8
0.46,5.08733,5.60275,0.106001,0.46,1,0,-179.604,0,132.8
0.48,5.09387,5.59579,0.115552,0.48,1,0,-179.531,0,132.8
0.5,5.10042,5.58884,0.125102,0.5,1,0,-179.458,0,132.8
0.52,5.10753,5.58131,0.135458,0.52,1,0,-179.366,0,132.8
0.54,5.1148,5.57365,0.146019,0.54,1,0,-179.269,0,132.8
0.56,5.12233,5.56574,0.15694,0.56,1,0,-179.163,0,132.8
0.58,5.13026,5.55743,0.168426,0.58,1,0,-179.04,0,132.8
0.6,5.13832,5.54903,0.180068,0.6,1,0,-178.913,0,132.8
0.62,5.14689,5.54015,0.192409,0.62,1,0,-178.762,0,132.8
0.64,5.15554,5.53122,0.204841,0.64,1,0,-178.608,0,132.8
0.66,5.16471,5.52181,0.21798,0.66,1,0,-178.422,0,132.8
0.68,5.17402,5.51233,0.231267,0.68,1,0,-178.232,0,132.8
0.7,5.18378,5.50245,0.245155,0.7,1,0,-178.025,0,132.8
0.72,5.19376,5.49243,0.259297,0.72,1,0,-177.804,0,132.8
