"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,6.87396,5.18906,0,0,31.926,0,0,0,132.8
0.02,6.8657,5.19991,0.0136372,0.637408,31.8704,0,16.1369,0,132.991
0.04,6.85767,5.21437,0.0301803,1.26804,31.7011,0,15.6753,0,133.565
0.06,6.83801,5.2451,0.06666,1.88506,31.4176,0,14.9016,0,134.522
0.08,6.80985,5.28851,0.118395,2.48167,31.0208,0,13.8214,0,135.861
0.1,6.77337,5.34406,0.184855,3.02955,9.12732,0,12.5628,0,137.582
0.12,6.73189,5.40764,0.260768,3.01961,9,0,14.1351,0,139.687
0.14,6.6892,5.47355,0.339297,2.93525,9,0,11.9805,0,142.056
0.16,6.64566,5.53622,0.415608,2.86322,9,0,6.91257,0,144.12
0.18,6.60156,5.59484,0.488966,2.83733,9,0,2.27077,0,145.801
0.2,6.55704,5.64924,0.559263,2.84888,9,0,-1.72712,0,147.099
0.22,6.51217,5.69926,0.626457,2.88803,9,0,-4.91476,0,148.014
0.24,6.4669,5.74466,0.690568,2.94404,9,0,-7.27374,0,148.547
0.26,6.42117,5.78525,0.751718,3,0,0,-8.574,0,148.7
0.28,6.37451,5.82297,0.811718,3,0,0,-6.728,0,148.7
0.3,6.32668,5.85918,0.871708,3,0,0,-4.987,0,148.7
0.32,6.27783,5.89402,0.93171,3,0,0,-3.485,0,148.7
0.34,6.22819,5.92772,0.991708,3,0,0,-2.326,0,148.7
0.36,6.17796,5.96054,1.05171,3,0,0,-1.477,0,148.7
0.38,6.12733,5.99273,1.11171,3,0,0,-0.887,0,148.7
0.4,6.07643,6.02449,1.1717,3,0,0,-0.503,0,148.7
0.42,6.02536,6.05599,1.23171,3,0,0,-0.264,0,148.7
0.44,5.97419,6.08732,1.29171,3,1.60446,0,-0.128,0,148.7
0.46,5.92493,6.11738,1.34941,2.664,30,0,-0.062,0,148.7
0.48,5.88462,6.14193,1.39661,2.064,30,0,-0.038,0,148.7
0.5,5.85507,6.15992,1.43121,1.464,30,0,-0.031,0,148.7
0.52,5.83882,6.16981,1.45023,0.863996,30,0,-0.03,0,148.7
0.54,5.82827,6.17623,1.46258,0.263996,30,0,-0.029,0,148.7
