"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,5.7985,5.26632,0,0,30.7039,0,0,0,132.8
0.02,5.79,5.27359,0.0111859,0.615233,30.7616,0,-17.207,0,132.991
0.04,5.78127,5.27727,0.0206527,1.23744,30.9361,0,-17.6972,0,133.565
0.06,5.76071,5.29002,0.0448459,1.87343,31.2239,0,-18.4953,0,134.522
0.08,5.73181,5.30823,0.0790143,2.52945,31.6182,0,-19.5613,0,135.861
0.1,5.69521,5.33138,0.122316,3.18923,9.58483,0,-20.9616,0,137.582
0.12,5.65493,5.35538,0.169207,3.34884,9,0,-25.09,0,139.687
0.14,5.61532,5.37681,0.214241,3.41097,9,0,-26.1569,0,142.056
0.16,5.57596,5.40088,0.260377,3.36948,9,0,-24.606,0,144.12
0.18,5.53628,5.42818,0.308538,3.3063,9,0,-22.6309,0,145.801
0.2,5.49582,5.4585,0.359099,3.22897,9,0,-20.1241,0,147.099
0.22,5.45413,5.49158,0.412319,3.14508,9,0,-16.936,0,148.014
0.24,5.41084,5.52714,0.468345,3.06338,9,0,-12.9718,0,148.547
0.26,5.36569,5.56493,0.527218,3,0,0,-8.574,0,148.7
0.28,5.31903,5.60265,0.587217,3,0,0,-6.728,0,148.7
0.3,5.2712,5.63886,0.647208,3,0,0,-4.987,0,148.7
0.32,5.22235,5.6737,0.707209,3,0,0,-3.485,0,148.7
0.34,5.17271,5.7074,0.767208,3,0,0,-2.326,0,148.7
0.36,5.12248,5.74022,0.827209,3,0,0,-1.477,0,148.7
0.38,5.07185,5.77241,0.887206,3,0,0,-0.887,0,148.7
0.4,5.02095,5.80417,0.947202,3,0,0,-0.503,0,148.7
0.42,4.96988,5.83567,1.00721,3,0,0,-0.264,0,148.7
0.44,4.91871,5.867,1.0672,3,1.60446,0,-0.128,0,148.7
0.46,4.86945,5.89706,1.12491,2.664,30,0,-0.062,0,148.7
0.48,4.82914,5.92161,1.17211,2.064,30,0,-0.038,0,148.7
0.5,4.79959,5.9396,1.20671,1.464,30,0,-0.031,0,148.7
0.52,4.78334,5.94949,1.22573,0.863996,30,0,-0.03,0,148.7
0.54,4.77279,5.95591,1.23808,0.263996,30,0,-0.029,0,148.7
