"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,6.33623,5.22769,0,0,3.048,0,133.025,0,0
0.02,6.33355,5.23056,0.00393495,0.06096,3.048,0,133.026,0.00156085,0
0.04,6.33086,5.23344,0.0078699,0.12192,3.048,0,133.027,0.00312169,0
0.06,6.32818,5.23632,0.0118049,0.18288,3.048,0,133.028,0.00468254,0
0.08,6.32549,5.23919,0.0157398,0.24384,3.048,0,133.03,0.00624338,0
0.1,6.32281,5.24207,0.0196748,0.3048,3.048,0,133.031,0.00780423,0
0.12,6.32012,5.24495,0.0236097,0.36576,3.048,0,133.032,0.00936507,0
0.14,6.31537,5.25004,0.0305777,0.42672,3.048,0,133.034,0.0124142,0
0.16,6.30888,5.25698,0.0400775,0.48768,3.048,0,133.037,0.0167057,0
0.18,6.3024,5.26393,0.0495773,0.54864,3.048,0,133.04,0.0209972,0
0.2,6.2942,5.2727,0.0615869,0.6096,3.048,0,133.051,0.0267263,0
0.22,6.28575,5.28175,0.0739673,0.67056,3.048,0,133.063,0.0326677,0
0.24,6.27601,5.29218,0.0882371,0.73152,3.048,0,133.077,0.0411628,0
0.26,6.26585,5.30303,0.103101,0.79248,3.048,0,133.093,0.0502531,0
0.28,6.25446,5.3152,0.11977,0.85344,3.048,0,133.124,0.0596816,0
0.3,6.24238,5.3281,0.13744,0.9144,3.048,0,133.157,0.0728264,0
0.32,6.22956,5.34177,0.156182,0.97536,3.048,0,133.198,0.0882351,0
0.34,6.21583,5.35638,0.176231,1.03632,3.048,0,133.256,0.101136,0
0.36,6.20114,5.37197,0.197655,1.09728,3.048,0,133.324,0.126469,0
0.38,6.18564,5.38839,0.220231,1.15824,3.048,0,133.414,0.145717,0
0.4,6.16929,5.40564,0.244,1.2192,3.048,0,133.525,0.177416,0
0.42,6.15207,5.42374,0.26898,1.28016,3.048,0,133.662,0.207842,0
0.44,6.13396,5.44266,0.295176,1.34112,3.048,0,133.835,0.249469,0
0.46,6.11495,5.4624,0.322585,1.40208,3.048,0,134.043,0.294742,0
0.48,6.09501,5.48293,0.351197,1.46304,3.048,0,134.312,0.349135,0
0.5,6.07414,5.5042,0.381,1.524,3.048,0,134.631,0.421626,0
0.52,6.05218,5.5263,0.412157,1.58496,3.048,0,135.045,0.488039,0
0.54,6.02921,5.54906,0.444489,1.64592,3.048,0,135.539,0.583035,0
0.56,6.00519,5.5724,0.477978,1.70688,3.048,0,136.141,0.673043,0
0.58,5.98,5.59632,0.51272,1.76784,3.048,0,136.867,0.783302,0
0.6,5.95356,5.62074,0.548711,1.8288,3.048,0,137.723,0.880682,0
0.62,5.92588,5.64549,0.585842,1.88976,3.048,0,138.711,0.974493,0
0.64,5.89675,5.67059,0.624294,1.95072,3.048,0,139.819,1.03592,0
0.66,5.86627,5.6958,0.66385,2.00644,-0.413988,0,141.01,1.06113,0
0.68,5.83496,5.7206,0.703802,1.97882,-3.048,0,142.213,1.03351,0
0.7,5.80392,5.74417,0.742771,1.91786,-3.048,0,143.332,0.969549,0
0.72,5.77345,5.76644,0.780512,1.8569,-3.048,0,144.325,0.868283,0
0.74,5.7436,5.78751,0.817053,1.79594,-3.048,0,145.188,0.764744,0
0.76,5.71451,5.80746,0.852325,1.73498,-3.048,0,145.891,0.650815,0
0.78,5.68613,5.82644,0.886465,1.67402,-3.048,0,146.493,0.550116,0
0.8,5.65867,5.84445,0.919307,1.61306,-3.048,0,146.953,0.459018,0
0.82,5.63211,5.86159,0.950918,1.5521,-3.048,0,147.333,0.37709,0
0.84,5.60644,5.87794,0.98135,1.49114,-3.048,0,147.631,0.312511,0
0.86,5.58171,5.89354,1.01059,1.43018,-3.048,0,147.874,0.252482,0
0.88,5.55795,5.9084,1.03861,1.36922,-3.048,0,148.056,0.212115,0
0.9,5.53519,5.92254,1.0654,1.30826,-3.048,0,148.204,0.164926,0
0.92,5.51346,5.93598,1.09096,1.2473,-3.048,0,148.316,0.142883,0
0.94,5.49276,5.94873,1.11527,1.18634,-3.048,0,148.402,0.109021,0
0.96,5.47311,5.9608,1.13833,1.12538,-3.048,0,148.471,0.0932051,0
0.98,5.4545,5.9722,1.16015,1.06442,-3.048,0,148.521,0.0733302,0
1,5.43691,5.98296,1.18078,1.00346,-3.048,0,148.561,0.0590491,0
1.02,5.42028,5.99312,1.20026,0.942504,-3.048,0,148.593,0.0484689,0
1.04,5.40454,6.00272,1.2187,0.881544,-3.048,0,148.614,0.0365407,0
1.06,5.39027,6.01142,1.23541,0.820584,-3.048,0,148.631,0.0299369,0
1.08,5.3768,6.01964,1.25119,0.759624,-3.048,0,148.644,0.0237608,0
1.1,5.36426,6.02728,1.26588,0.698664,-3.048,0,148.651,0.0179263,0
1.12,5.35313,6.03405,1.27891,0.637704,-3.048,0,148.658,0.0138629,0
1.14,5.34256,6.04049,1.29129,0.576744,-3.048,0,148.663,0.0104907,0
1.16,5.33362,6.04593,1.30174,0.515784,-3.048,0,148.666,0.00799812,0
1.18,5.32551,6.05087,1.31124,0.454824,-3.048,0,148.667,0.00594329,0
1.2,5.31739,6.05581,1.32074,0.393864,-3.048,0,148.668,0.00388846,0
1.22,5.314,6.05787,1.32471,0.332904,-3.048,0,148.669,0.00327919,0
1.24,5.31064,6.05992,1.32865,0.271944,-3.048,0,148.669,0.00267872,0
1.26,5.30728,6.06196,1.33258,0.210984,-3.048,0,148.67,0.00207825,0
1.28,5.30392,6.06401,1.33652,0.150024,-3.048,0,148.67,0.00147777,0
1.3,5.30056,6.06606,1.34045,0.0890638,-3.048,0,148.671,0.000877302,0
1.32,5.2972,6.0681,1.34439,0.0281038,-3.048,0,148.671,0.00027683,0
