"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,7.27422,2.31117,0,0,30,0,0,0,-98.7
0.02,7.27422,2.29883,0.01234,0.6,30,0,8.7015,0,-98.7
0.04,7.27422,2.28648,0.02469,1.2,30,0,8.7031,0,-98.7
0.06,7.27422,2.25687,0.0543,1.8,30,0,8.708,0,-98.7
0.08,7.27423,2.21487,0.0963,2.4,30,0,8.7184,0,-98.7
0.1,7.27426,2.16117,0.15,2.97736,2.56681,0,8.7263,0,-98.7
0.12,7.27428,2.10127,0.2099,3,0,0,8.7103,0,-98.7
0.14,7.27427,2.04127,0.2699,3,0,0,8.6416,0,-98.7
0.16,7.27414,1.98127,0.3299,3,0,0,8.4868,0,-98.7
0.18,7.27378,1.92127,0.389901,3,0,0,8.1794,0,-98.7
0.2,7.273,1.86128,0.449896,3,0,0,7.6746,0,-98.7
0.22,7.27157,1.8013,0.509893,3,0,0,6.9346,0,-98.7
0.24,7.26923,1.74134,0.569899,3,0,0,5.9425,0,-98.7
0.26,7.26576,1.68144,0.629899,3,0,0,4.8074,0,-98.7
0.28,7.26108,1.62163,0.689892,3,0,0,3.6624,0,-98.7
0.3,7.25526,1.56191,0.749895,3,0,0,2.647,0,-98.7
0.32,7.24847,1.5023,0.809891,3,0,0,1.8205,0,-98.7
0.34,7.24094,1.44277,0.869892,3,0,0,1.1944,0,-98.7
0.36,7.23285,1.38332,0.929892,3,0,0,0.7464,0,-98.7
0.38,7.22436,1.32392,0.989894,3,0,0,0.4349,0,-98.7
0.4,7.21567,1.2649,1.04955,2.92303,28.0761,0,0.2328,0,-98.7
0.42,7.20787,1.21293,1.1021,2.34,30,0,0.1225,0,-98.7
0.44,7.20171,1.17221,1.14328,1.74,30,0,0.0706,0,-98.7
0.46,7.19764,1.14547,1.17034,1.14,30,0,0.056,0,-98.7
0.48,7.19579,1.13326,1.18268,0.539996,30,0,0.0516,0,-98.7
