"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,7.13024,1.07056,0,0,1,0,0,0,90
0.02,7.13008,1.07281,0.00225369,0.02,1,0,4.1674,0,90
0.04,7.12991,1.07506,0.00450811,0.04,1,0,4.1658,0,90
0.06,7.12975,1.0773,0.00676179,0.06,1,0,4.1643,0,90
0.08,7.12958,1.07955,0.00901621,0.08,1,0,4.1628,0,90
0.1,7.12942,1.0818,0.0112699,0.1,1,0,4.1612,0,90
0.12,7.12926,1.08405,0.0135236,0.12,1,0,4.1597,0,90
0.14,7.12909,1.0863,0.015777,0.14,1,0,4.1581,0,90
0.16,7.12893,1.08854,0.0180307,0.16,1,0,4.1566,0,90
0.18,7.12877,1.09079,0.0202844,0.18,1,0,4.1551,0,90
0.2,7.1286,1.09304,0.0225388,0.2,1,0,4.1535,0,90
0.22,7.12844,1.09529,0.0247925,0.22,1,0,4.152,0,90
0.24,7.12811,1.09986,0.0293754,0.24,1,0,4.1476,0,90
0.26,7.12771,1.10529,0.0348171,0.26,1,0,4.1422,0,90
0.28,7.12732,1.11071,0.0402581,0.28,1,0,4.1368,0,90
0.3,7.12693,1.11614,0.0456991,0.3,1,0,4.1314,0,90
0.32,7.12653,1.12167,0.0512435,0.32,1,0,4.1254,0,90
0.34,7.12602,1.12874,0.0583349,0.34,1,0,4.1115,0,90
0.36,7.12551,1.13582,0.0654263,0.36,1,0,4.0975,0,90
0.38,7.125,1.14289,0.0725186,0.38,1,0,4.0835,0,90
0.4,7.12445,1.1506,0.0802442,0.4,1,0,4.0658,0,90
0.42,7.12386,1.15899,0.0886559,0.42,1,0,4.0441,0,90
0.44,7.12326,1.16738,0.0970674,0.44,1,0,4.0223,0,90
0.46,7.12264,1.17629,0.106003,0.46,1,0,3.9965,0,90
0.48,7.12197,1.18581,0.11555,0.48,1,0,3.966,0,90
0.5,7.12132,1.19534,0.125098,0.5,1,0,3.9354,0,90
0.52,7.12061,1.20567,0.135457,0.52,1,0,3.8941,0,90
0.54,7.11989,1.21621,0.146018,0.54,1,0,3.8501,0,90
0.56,7.11916,1.22711,0.156944,0.56,1,0,3.8027,0,90
0.58,7.1184,1.23857,0.168428,0.58,1,0,3.7503,0,90
0.6,7.11765,1.25019,0.180069,0.6,1,0,3.6946,0,90
0.62,7.11686,1.2625,0.192407,0.62,1,0,3.6244,0,90
0.64,7.11608,1.27491,0.204845,0.64,1,0,3.5527,0,90
0.66,7.11527,1.28803,0.217982,0.66,1,0,3.4699,0,90
0.68,7.11448,1.30128,0.231263,0.68,1,0,3.3843,0,90
0.7,7.11367,1.31515,0.245151,0.7,1,0,3.2873,0,90
0.72,7.11287,1.32927,0.2593,0.72,1,0,3.1822,0,90
0.74,7.11207,1.34386,0.273903,0.74,1,0,3.0629,0,90
0.76,7.11128,1.35886,0.28893,0.76,1,0,2.9341,0,90
