"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,7.49854,0.67686,0,0,1,0,94.1689,0,90
0.02,7.49838,0.679108,0.00225389,0.02,1,0,94.1674,-0.00224224,90
0.04,7.49821,0.681356,0.00450777,0.04,1,0,94.1658,-0.00448447,90
0.06,7.49805,0.683604,0.00676166,0.06,1,0,94.1643,-0.00672671,90
0.08,7.49788,0.685852,0.00901554,0.08,1,0,94.1628,-0.00896894,90
0.1,7.49772,0.6881,0.0112694,0.1,1,0,94.1612,-0.0112112,90
0.12,7.49756,0.690348,0.0135233,0.12,1,0,94.1597,-0.0134534,90
0.14,7.49739,0.692595,0.0157772,0.14,1,0,94.1581,-0.0156956,90
0.16,7.49723,0.694843,0.0180311,0.16,1,0,94.1566,-0.0179379,90
0.18,7.49707,0.697091,0.020285,0.18,1,0,94.1551,-0.0201801,90
0.2,7.4969,0.699339,0.0225389,0.2,1,0,94.1535,-0.0224224,90
0.22,7.49674,0.701587,0.0247927,0.22,1,0,94.152,-0.0246646,90
0.24,7.49641,0.706158,0.0293753,0.24,1,0,94.1476,-0.0301206,90
0.26,7.49601,0.711585,0.0348167,0.26,1,0,94.1422,-0.0367618,90
0.28,7.49562,0.717012,0.040258,0.28,1,0,94.1368,-0.043403,90
0.3,7.49523,0.722439,0.0456994,0.3,1,0,94.1314,-0.0500443,90
0.32,7.49483,0.727969,0.0512441,0.32,1,0,94.1254,-0.056584,90
0.34,7.49432,0.735042,0.0583354,0.34,1,0,94.1115,-0.0616042,90
0.36,7.49381,0.742115,0.0654267,0.36,1,0,94.0975,-0.0666243,90
0.38,7.4933,0.749189,0.072518,0.38,1,0,94.0835,-0.0716445,90
0.4,7.49275,0.756895,0.0802441,0.4,1,0,94.0658,-0.0793806,90
0.42,7.49216,0.765286,0.0886557,0.42,1,0,94.0441,-0.0900498,90
0.44,7.49156,0.773676,0.0970674,0.44,1,0,94.0223,-0.100719,90
0.46,7.49094,0.78259,0.106003,0.46,1,0,93.9965,-0.109682,90
0.48,7.49027,0.792114,0.11555,0.48,1,0,93.966,-0.116652,90
0.5,7.48962,0.801639,0.125098,0.5,1,0,93.9354,-0.123621,90
0.52,7.48891,0.811974,0.135457,0.52,1,0,93.8941,-0.134623,90
0.54,7.48819,0.82251,0.146018,0.54,1,0,93.8501,-0.146628,90
0.56,7.48746,0.833412,0.156944,0.56,1,0,93.8027,-0.158747,90
0.58,7.4867,0.844871,0.168428,0.58,1,0,93.7503,-0.171039,90
0.6,7.48595,0.856488,0.180069,0.6,1,0,93.6946,-0.183089,90
0.62,7.48516,0.8688,0.192407,0.62,1,0,93.6244,-0.194058,90
0.64,7.48438,0.881214,0.204845,0.64,1,0,93.5527,-0.205851,90
0.66,7.48357,0.894326,0.217982,0.66,1,0,93.4699,-0.223399,90
0.68,7.48278,0.907583,0.231263,0.68,1,0,93.3843,-0.240194,90
0.7,7.48197,0.921448,0.245152,0.7,1,0,93.2873,-0.253814,90
0.72,7.48117,0.935574,0.2593,0.72,1,0,93.1822,-0.268874,90
0.74,7.48037,0.950155,0.273903,0.74,1,0,93.0629,-0.28646,90
0.76,7.47958,0.965161,0.28893,0.76,1,0,92.9341,-0.305914,90
0.78,7.47882,0.980425,0.304212,0.78,1,0,92.7996,-0.326497,90
0.8,7.47806,0.996316,0.320122,0.8,1,0,92.6469,-0.343655,90
0.82,7.47733,1.01246,0.336286,0.82,1,0,92.4843,-0.361747,90
0.84,7.47664,1.02901,0.352845,0.84,1,0,92.306,-0.381683,90
0.86,7.47598,1.04606,0.369908,0.86,1,0,92.1129,-0.401793,90
0.88,7.47537,1.06342,0.387276,0.88,1,0,91.9103,-0.420709,90
0.9,7.47481,1.08115,0.405021,0.9,1,0,91.6955,-0.437376,90
0.92,7.4743,1.09941,0.423286,0.92,1,0,91.4611,-0.450452,90
0.94,7.47387,1.11801,0.441887,0.94,1,0,91.2175,-0.461236,90
0.96,7.47351,1.13696,0.460842,0.96,0.954837,0,90.9653,-0.468744,90
0.98,7.47322,1.15634,0.480229,0.98,0.714439,0,90.7053,-0.469556,90
1,7.47303,1.17611,0.5,0.994471,0.21576,0,90.4417,-0.461598,90
1.02,7.47292,1.19604,0.519929,1,0,0,90.1812,-0.446891,90
1.04,7.4729,1.21604,0.539929,1,0,0,89.93,-0.425006,90
1.06,7.47297,1.23604,0.559929,1,0,0,89.6946,-0.395463,90
1.08,7.47312,1.25604,0.579929,1,0,0,89.4827,-0.35648,90
1.1,7.47333,1.27604,0.599929,1,0,0,89.2943,-0.311395,90
1.12,7.47361,1.29604,0.619929,1,0,0,89.1297,-0.262257,90
1.14,7.47395,1.31603,0.639929,1,-0.13294,0,88.9899,-0.210718,90
1.16,7.47432,1.33603,0.659929,1,-0.672341,0,88.8768,-0.158704,90
1.18,7.47473,1.35586,0.679758,0.986622,-0.925076,0,88.805,-0.110981,90
1.2,7.47514,1.37537,0.699278,0.968542,-1,0,88.7602,-0.0654005,90
